transaction_id,customer_id,txn_date,amount
1_1092,1,2025-09-10,10.96
1_3979,1,2026-01-28,124.71
1_5899,1,2025-11-21,18.39
1_6914,1,2026-01-23,50.47
1_2655,1,2026-02-18,26.48
1_8724,1,2025-12-09,44.68
1_9140,1,2025-10-04,20.74
1_9868,1,2025-12-19,9.46
1_5237,1,2025-09-19,19.49
1_5700,1,2026-02-18,26.03
1_9199,1,2025-12-11,59.92
1_5220,1,2025-09-27,35.71
1_4139,1,2026-02-09,5.22
1_1716,1,2025-10-10,7.6
1_8227,1,2025-08-30,39.66
1_8853,1,2026-01-29,63.93
1_6549,1,2026-01-06,65.74
1_6873,1,2025-12-24,41.22
1_6094,1,2025-10-11,36.86
1_5334,1,2025-09-01,74.53
1_8236,1,2026-01-08,8.49
1_4829,1,2025-11-13,8.33
1_8037,1,2025-09-10,19.55
1_3075,1,2025-11-04,35.67
1_9336,1,2026-02-16,10.55
1_7450,1,2026-02-24,50.8
1_5964,1,2025-10-31,46.14
1_7560,1,2025-10-05,19.54
2_1139,2,2026-02-15,8.77
2_4012,2,2025-12-29,24.57
2_8414,2,2025-12-10,156.99
2_8854,2,2026-02-04,6.66
2_3188,2,2025-09-21,24.79
2_3889,2,2025-08-31,33.53
2_4731,2,2025-09-05,5.97
2_5148,2,2026-01-18,62.52
2_7825,2,2026-02-14,16.99
2_5280,2,2025-10-08,26.64
2_9401,2,2025-09-30,5.51
2_9973,2,2025-12-02,25.38
2_4950,2,2025-09-29,29.95
2_6712,2,2026-01-30,10.47
2_8229,2,2026-01-07,20.71
2_3034,2,2025-11-30,4.52
2_3271,2,2026-01-13,27.35
2_6100,2,2025-11-21,110.19
2_6693,2,2026-02-23,35.36
2_5301,2,2025-09-22,3.45
2_2327,2,2026-01-27,27.9
2_1942,2,2025-10-21,49.41
2_1687,2,2025-11-07,24.69
2_5624,2,2025-12-16,6.02
2_1169,2,2025-10-20,34.44
2_8348,2,2025-10-17,28.27
2_2807,2,2025-11-14,25.66
2_9329,2,2025-11-20,16.49
2_6629,2,2026-02-16,42.91
2_7809,2,2025-09-24,36.01
2_7138,2,2025-12-22,66.46
2_1538,2,2025-09-15,10.92
2_5326,2,2025-12-02,25.3
2_3628,2,2026-02-14,25.44
2_2601,2,2026-02-12,45.92
2_7412,2,2026-02-06,44.6
2_6617,2,2025-12-13,37.87
2_3148,2,2025-12-18,32.31
2_3033,2,2026-01-01,6.88
2_3405,2,2025-11-07,20.2
2_2725,2,2025-10-24,67.41
2_2274,2,2025-09-25,37.3
2_7324,2,2026-01-20,13.55
2_1545,2,2025-09-06,13.31
2_6508,2,2026-02-06,53.54
2_5275,2,2026-02-12,15.55
2_3742,2,2026-02-23,22.79
3_6406,3,2025-10-17,10.1
3_4470,3,2025-10-29,102.61
3_2230,3,2025-12-06,52.27
3_1353,3,2025-10-02,43.74
3_3067,3,2026-01-08,11.57
3_9366,3,2025-12-25,61.31
3_1282,3,2025-11-01,10.49
3_8258,3,2025-09-20,21.79
3_7979,3,2025-09-06,74.18
3_7974,3,2025-11-24,9.81
3_2471,3,2025-10-03,3.11
3_4533,3,2025-12-25,32.46
3_9437,3,2026-01-10,5.13
3_1487,3,2025-12-31,24.28
3_2070,3,2025-10-04,35.76
3_7117,3,2026-02-22,5.32
3_6454,3,2025-10-06,19.77
3_2011,3,2026-01-10,13.84
3_5579,3,2025-10-12,59.67
3_4639,3,2025-11-28,5.74
3_9003,3,2025-12-27,28.46
3_4529,3,2025-10-11,23.12
3_8225,3,2025-11-09,3.43
3_2751,3,2026-01-06,56.43
3_8359,3,2025-11-25,16.53
3_7875,3,2025-12-24,33.57
3_8974,3,2025-12-14,11.79
3_8635,3,2026-02-21,49.86
3_8053,3,2025-10-23,83.77
3_1458,3,2026-01-18,1.14
3_6495,3,2025-12-31,17.1
3_8963,3,2025-11-18,11.0
3_9956,3,2025-12-28,32.1
3_9344,3,2025-11-10,29.82
3_6694,3,2025-09-27,11.32
3_1057,3,2026-01-21,7.74
3_6881,3,2026-02-12,7.74
3_2228,3,2025-10-29,18.79
3_5824,3,2025-11-12,25.67
3_5879,3,2025-12-18,19.66
3_7365,3,2025-11-11,9.51
3_1672,3,2025-12-04,57.57
4_8033,4,2025-09-01,153.44
4_4109,4,2025-09-18,16.97
4_8915,4,2025-10-06,22.44
4_3853,4,2025-09-19,25.72
4_3843,4,2025-10-06,21.92
4_3056,4,2025-09-03,4.21
4_5444,4,2025-12-31,11.83
4_2905,4,2025-09-14,6.62
4_2758,4,2026-01-08,35.41
4_7481,4,2025-10-02,27.3
4_7544,4,2025-10-09,17.61
4_9040,4,2025-09-10,8.82
4_2792,4,2025-12-02,17.04
4_5702,4,2026-01-24,7.27
4_4115,4,2025-11-20,21.36
4_7228,4,2026-01-29,14.95
4_2314,4,2025-12-02,23.39
4_8212,4,2025-09-02,8.78
4_2500,4,2025-11-20,21.89
4_2604,4,2025-12-23,6.72
4_4404,4,2026-02-04,16.16
4_9730,4,2025-11-06,16.43
4_7523,4,2025-10-05,17.43
4_8946,4,2025-11-06,102.79
4_9371,4,2025-12-12,15.47
4_4147,4,2025-11-30,14.85
4_1349,4,2025-12-29,25.12
4_5559,4,2025-10-11,2.38
4_9737,4,2026-02-05,19.36
4_7932,4,2026-02-06,97.79
4_2245,4,2025-11-02,26.43
4_7323,4,2025-10-06,27.75
4_4991,4,2025-11-02,15.61
4_5281,4,2025-11-26,97.77
4_9923,4,2025-11-05,29.37
4_5886,4,2025-12-22,18.9
4_2897,4,2026-01-13,9.62
4_4160,4,2025-11-21,71.13
4_7797,4,2025-09-12,12.64
4_8828,4,2025-08-30,2.22
5_2783,5,2025-10-02,7.12
5_6779,5,2026-01-06,11.85
5_9064,5,2026-02-18,12.03
5_7498,5,2025-09-27,71.57
5_4288,5,2025-12-03,9.9
5_9153,5,2025-12-16,12.84
5_8315,5,2025-09-03,72.31
5_4608,5,2025-11-14,1.27
5_5744,5,2026-02-14,58.17
5_4375,5,2025-10-19,46.24
5_4055,5,2026-02-23,13.1
5_2161,5,2026-01-30,14.37
5_3599,5,2026-02-18,13.41
5_8058,5,2025-11-17,43.89
5_5278,5,2025-11-17,35.43
5_7624,5,2026-02-22,8.51
5_8622,5,2025-10-20,62.95
5_4877,5,2025-12-25,6.97
5_1917,5,2025-09-21,19.28
5_3098,5,2026-02-13,29.66
5_4959,5,2025-10-18,9.28
5_2693,5,2025-11-21,11.89
5_7888,5,2026-02-17,5.71
5_2726,5,2025-11-02,26.49
5_9201,5,2025-10-18,41.77
5_2421,5,2025-12-12,7.39
5_8172,5,2026-02-05,12.12
5_6132,5,2025-09-23,11.41
5_8241,5,2026-01-16,13.32
5_4068,5,2026-01-06,101.03
6_6030,6,2026-02-03,14.55
6_2507,6,2025-09-03,97.76
6_4530,6,2025-11-10,33.57
6_4430,6,2025-10-10,12.47
6_5203,6,2026-01-24,39.11
6_8325,6,2025-10-24,6.18
6_6542,6,2025-09-11,65.87
6_5283,6,2025-09-23,7.98
6_2050,6,2025-10-01,33.24
6_8690,6,2025-10-25,16.05
6_7951,6,2025-09-26,11.09
6_6068,6,2026-01-10,7.39
6_8062,6,2025-12-31,10.2
6_1088,6,2025-11-01,86.31
6_9118,6,2025-10-04,11.99
6_8847,6,2026-01-18,26.63
6_3229,6,2025-10-15,42.38
6_2586,6,2025-09-28,13.74
6_3491,6,2026-01-11,6.43
6_8969,6,2026-01-19,11.33
6_7780,6,2026-01-22,5.36
6_1610,6,2025-10-02,11.76
6_2996,6,2025-11-30,18.35
6_2723,6,2026-02-12,16.09
6_2157,6,2025-09-03,30.62
6_3362,6,2025-12-05,46.68
6_3662,6,2025-09-06,32.96
6_2528,6,2025-12-17,54.77
6_3105,6,2025-10-25,157.1
6_5578,6,2025-10-30,181.19
6_6053,6,2025-10-07,34.19
6_4127,6,2025-10-29,29.0
6_5594,6,2025-09-11,126.24
6_7242,6,2026-01-27,21.89
6_3351,6,2026-01-05,11.25
6_3325,6,2025-11-29,42.33
6_3978,6,2026-01-16,8.28
6_7701,6,2025-12-20,6.06
6_3056,6,2025-10-29,5.62
6_6064,6,2025-10-22,35.13
6_2899,6,2025-12-26,191.12
6_8396,6,2025-11-05,11.49
6_5457,6,2026-02-15,3.7
6_8253,6,2025-12-24,28.6
7_4088,7,2025-12-19,80.9
7_9118,7,2026-01-09,28.43
7_8395,7,2025-09-18,64.3
7_1955,7,2025-10-12,53.26
7_3422,7,2025-12-23,33.15
7_5411,7,2026-02-18,1.35
7_8100,7,2025-12-12,39.56
7_4656,7,2025-12-12,6.55
7_8619,7,2025-10-02,17.99
7_4147,7,2026-01-31,14.17
7_8039,7,2026-02-05,14.08
