transaction_id,customer_id,txn_date,amount
1_4108,1,2025-08-31,50.22
1_6353,1,2025-09-08,28.4
1_6779,1,2025-09-01,30.81
1_5291,1,2025-09-28,2.49
1_6999,1,2025-10-21,21.41
1_9462,1,2026-02-18,22.66
1_7555,1,2025-12-03,26.48
1_4925,1,2025-11-22,10.48
1_3885,1,2025-11-16,16.6
1_3931,1,2026-01-23,24.96
1_7681,1,2026-01-02,19.07
1_3523,1,2025-09-21,24.45
1_3954,1,2025-11-04,39.19
1_6770,1,2026-01-10,11.98
1_6500,1,2025-11-05,60.67
1_1719,1,2025-10-02,65.83
1_2251,1,2026-01-26,6.76
1_1576,1,2025-12-19,102.63
1_4047,1,2025-11-13,27.18
1_7333,1,2025-12-25,9.45
2_5696,2,2025-09-18,54.88
2_9218,2,2025-12-15,15.61
2_4794,2,2025-12-11,10.98
2_3081,2,2025-11-20,14.49
2_7855,2,2025-10-24,49.48
2_5231,2,2025-10-08,17.48
2_6544,2,2026-02-03,72.95
2_2466,2,2025-11-30,15.47
2_6391,2,2026-01-03,5.26
2_2445,2,2025-12-23,64.36
2_8800,2,2025-12-12,64.82
2_9735,2,2025-10-02,152.68
2_9049,2,2025-12-28,183.5
2_7487,2,2026-01-22,61.07
2_7313,2,2025-09-07,20.94
2_6699,2,2025-11-08,15.92
2_6829,2,2025-12-14,20.14
2_8716,2,2025-12-03,101.54
2_6394,2,2026-01-31,3.93
2_6348,2,2026-02-11,23.83
2_4510,2,2026-01-14,39.65
2_7344,2,2025-11-10,35.71
2_3983,2,2025-10-26,75.1
2_3223,2,2025-11-11,21.91
2_5286,2,2025-12-08,42.9
2_7569,2,2026-02-01,26.61
2_1063,2,2026-01-21,16.63
2_9602,2,2026-01-23,34.92
3_2414,3,2025-10-24,31.87
3_7970,3,2026-01-30,209.99
3_5780,3,2025-09-22,24.04
3_8269,3,2025-10-05,80.8
3_7488,3,2025-11-12,91.33
3_4501,3,2025-09-02,43.51
3_6959,3,2025-12-11,7.52
3_9133,3,2026-02-19,16.04
3_1012,3,2025-11-23,27.92
3_1378,3,2025-09-20,29.81
3_5828,3,2025-12-17,51.88
3_7927,3,2026-01-15,10.36
3_2771,3,2026-01-21,8.82
3_5599,3,2026-01-03,17.28
3_5488,3,2025-10-20,32.36
3_3383,3,2026-01-10,2.06
3_2592,3,2025-10-26,256.22
3_1867,3,2026-01-31,30.36
3_1449,3,2026-02-17,6.96
3_8586,3,2025-10-28,32.38
3_9004,3,2025-10-24,23.96
3_5691,3,2026-01-08,26.19
3_1517,3,2025-09-25,8.52
3_3167,3,2025-09-27,6.97
3_1494,3,2026-02-07,31.05
3_9849,3,2025-11-29,49.02
3_5303,3,2025-10-03,11.38
3_4230,3,2025-12-19,30.94
3_1207,3,2025-09-04,33.21
3_6671,3,2025-09-18,14.01
3_7514,3,2025-10-30,5.41
3_4218,3,2026-01-20,23.2
3_1111,3,2025-10-06,9.97
4_8059,4,2025-10-11,10.56
4_5011,4,2025-12-10,11.62
4_1850,4,2025-09-26,23.65
4_9643,4,2026-02-24,39.13
4_1208,4,2025-10-03,4.27
4_8560,4,2025-12-21,3.1
4_4280,4,2025-09-10,2.79
4_2282,4,2026-02-02,35.48
4_6314,4,2025-09-12,102.35
4_6384,4,2025-11-09,6.68
4_1531,4,2025-09-10,9.86
4_9240,4,2026-02-13,9.4
4_4690,4,2026-02-21,20.77
4_4448,4,2025-09-07,25.38
4_3630,4,2026-01-07,4.24
4_5651,4,2025-12-21,2.74
4_2334,4,2026-02-23,29.2
4_8672,4,2025-12-02,40.25
4_6148,4,2025-11-20,140.69
4_9844,4,2026-01-27,47.87
4_3646,4,2026-01-21,3.33
4_6848,4,2025-12-11,74.53
4_3415,4,2026-01-02,40.22
4_1536,4,2025-11-12,17.97
4_5830,4,2025-10-05,8.13
4_5447,4,2026-02-14,74.74
4_4930,4,2026-02-23,5.96
4_2441,4,2025-10-05,8.06
4_1934,4,2025-11-03,15.15
4_4184,4,2025-11-14,9.46
5_9455,5,2025-09-30,44.23
5_3561,5,2025-12-04,9.5
5_3268,5,2026-01-25,25.16
5_8940,5,2025-09-18,23.46
5_2219,5,2025-10-07,236.45
5_4913,5,2026-01-21,6.89
5_2920,5,2025-12-22,8.25
5_6434,5,2025-11-13,3.2
5_5743,5,2025-08-30,33.38
5_5270,5,2025-09-28,31.47
5_6229,5,2025-10-06,11.82
5_9088,5,2025-12-02,2.73
5_5217,5,2026-02-14,67.92
5_5400,5,2026-01-08,21.8
5_5732,5,2026-01-22,18.19
5_5280,5,2025-09-21,35.46
5_9425,5,2025-08-30,36.58
5_7363,5,2026-02-12,16.86
5_7561,5,2025-12-22,9.43
5_9667,5,2025-11-27,7.12
5_8879,5,2026-02-06,74.67
5_9081,5,2026-02-16,16.04
5_9275,5,2026-01-03,24.47
5_3338,5,2026-01-24,19.59
5_1075,5,2025-11-08,45.5
5_9945,5,2025-12-08,10.48
5_9977,5,2025-10-18,34.11
5_2198,5,2025-09-10,33.46
5_1914,5,2025-10-13,54.48
5_9448,5,2025-09-30,21.26
5_6164,5,2026-01-25,34.11
5_4337,5,2025-10-21,3.31
5_4973,5,2025-12-10,10.52
5_1282,5,2026-02-06,7.85
5_9036,5,2025-10-15,17.39
5_4379,5,2025-09-19,34.47
5_8096,5,2025-12-28,5.57
5_4664,5,2025-09-28,16.23
5_5002,5,2025-10-19,89.19
5_6046,5,2025-10-23,11.43
5_2717,5,2025-12-15,13.32
5_6032,5,2025-09-23,10.88
5_1763,5,2025-12-08,14.84
5_1292,5,2025-10-05,20.4
5_8817,5,2025-11-15,9.69
5_7742,5,2026-01-17,31.09
5_2458,5,2026-01-05,66.07
5_3050,5,2026-01-05,51.96
5_8344,5,2025-09-01,30.73
6_2456,6,2025-11-02,111.56
6_3958,6,2026-02-19,6.96
6_6916,6,2025-09-24,67.21
6_9966,6,2025-12-02,14.63
6_2287,6,2025-10-16,19.49
6_7152,6,2025-09-30,16.87
6_4157,6,2025-12-09,115.5
6_2968,6,2025-10-29,44.43
6_3032,6,2025-09-12,4.34
6_5037,6,2025-12-06,56.43
6_6437,6,2025-09-06,17.77
6_3069,6,2025-10-10,13.0
6_3359,6,2025-09-30,6.09
6_2760,6,2026-01-05,19.3
6_8600,6,2025-11-06,16.9
6_8660,6,2025-08-30,111.24
6_8449,6,2025-09-22,87.46
6_4512,6,2025-10-08,16.29
6_5226,6,2025-11-05,62.95
6_8966,6,2025-12-28,6.55
6_3334,6,2026-01-09,39.56
6_7649,6,2025-12-30,12.33
6_1593,6,2026-02-05,19.72
6_5308,6,2026-02-18,74.57
7_5582,7,2025-09-02,10.59
7_8629,7,2025-11-30,23.77
7_8633,7,2025-09-06,31.82
7_7771,7,2025-12-01,10.2
7_1114,7,2025-11-17,44.39
7_2401,7,2025-08-31,68.56
7_7908,7,2025-09-27,1.76
7_8926,7,2025-09-20,24.19
7_9870,7,2025-11-08,6.84
7_9763,7,2026-02-21,3.39
7_6707,7,2025-11-24,9.04
7_3939,7,2025-11-06,17.38
7_9725,7,2025-12-07,54.38
7_1668,7,2025-09-26,9.42
7_9084,7,2025-12-15,5.74
7_1208,7,2026-01-08,12.15
7_6650,7,2026-01-21,75.81
7_8765,7,2025-09-10,35.03
7_6566,7,2025-10-27,52.57
7_1899,7,2026-02-16,19.05
7_7225,7,2025-09-30,18.67
7_4266,7,2026-02-24,6.91
7_3921,7,2025-10-31,46.14
7_3235,7,2025-10-05,19.54
7_9894,7,2026-01-25,6.86
7_5078,7,2026-02-16,28.91
7_9209,7,2026-02-11,25.28
7_9335,7,2025-09-26,8.1
